UC1,UC2,UC3,UC4,IUC
60.000000,20.501926,29.142096,20.765315,32.602334
62.500000,21.919107,29.844902,21.494243,43.459709
60.500000,23.091244,29.805690,21.925982,42.720486
52.500000,21.043935,26.576946,20.679430,37.633385
58.500000,22.773087,28.198108,21.635658,41.351142
59.000000,22.270691,29.291265,21.565305,41.687877
63.000000,26.639394,29.188444,22.670438,44.583046
66.000000,24.047726,30.180316,22.602781,45.805137
56.500000,21.316959,24.276653,20.639516,39.288855
56.500000,18.963270,28.112606,19.831655,30.851883
59.500000,20.851061,27.548458,20.723114,41.270439
56.500000,20.049216,27.975935,20.392640,39.652965
61.500000,22.662713,30.662789,21.262584,43.181348
62.500000,24.600894,29.591479,21.941910,43.939047
60.000000,22.760325,29.454753,21.608918,33.455999
60.000000,21.059512,29.464425,21.333142,32.964270
58.000000,17.515470,27.500873,19.911375,30.731929
56.500000,20.505411,27.027276,20.308903,39.556932
55.500000,22.222839,26.855788,21.271107,39.474956
58.000000,23.074725,28.037322,21.772549,41.147433
63.000000,20.294242,32.723863,21.850798,34.467226
63.500000,22.407104,26.510095,21.336693,43.458982
60.500000,23.714406,31.091289,22.140343,43.074340
54.000000,22.014744,27.590748,21.180703,38.797699
59.000000,27.953791,31.737298,23.194164,43.314209
58.500000,19.638622,26.532197,20.524427,31.298811
64.500000,25.021317,30.673557,22.222005,45.236146
63.000000,18.268336,25.741700,19.764925,31.693741
62.500000,22.946503,29.435285,21.704292,43.597680
59.500000,23.552078,25.125687,20.806861,41.330771
58.000000,23.457976,26.216178,21.205559,40.813285
60.500000,22.476772,29.211421,21.508036,42.449372
55.000000,22.635237,27.847890,21.100050,39.430530
61.000000,24.329087,31.097421,22.661274,43.514630
63.000000,18.715066,28.059634,20.222109,32.499202
65.000000,25.627230,30.036448,22.146909,45.468431
56.500000,21.542622,29.305871,21.455938,40.300739
57.500000,22.538880,27.598049,20.635662,40.545432
59.000000,24.184494,26.965944,21.027821,41.529710
60.000000,19.501304,29.747958,20.822551,32.517953
61.500000,21.283041,30.273980,21.509222,33.641561
57.000000,21.249498,27.424274,20.848826,40.087100
62.500000,23.201665,28.297224,21.881769,43.480110
62.500000,21.468724,29.130358,21.539155,33.659559
62.500000,27.925734,33.106938,23.719544,45.375369
60.500000,22.345188,27.417084,21.178439,42.073452
56.000000,21.214572,28.375851,20.884123,39.745758
59.500000,19.166479,27.422364,19.841272,31.482529
