White noise,Positive bias,Negative bias
22.589188,21.518549,23.678732
22.560143,21.365463,23.603928
22.609927,21.464536,23.695852
22.607225,21.499904,23.631758
22.685069,21.576941,23.897830
22.608207,21.541514,23.530216
22.514663,21.545111,23.758095
22.586315,21.556984,23.636459
22.565535,21.623279,23.668743
22.654651,21.642028,23.594435
22.550444,21.585889,23.747994
22.665975,21.577625,23.674704
22.497103,21.465068,23.656278
22.557540,21.667626,23.653683
22.588234,21.520650,23.690290
22.569652,21.520556,23.649916
22.625149,21.494470,23.632036
22.557233,21.531272,23.684849
22.605627,21.465623,23.728703
22.682606,21.507931,23.821753
22.582306,21.552426,23.692637
22.517533,21.578034,23.816682
22.590182,21.440972,23.711141
22.636370,21.631988,23.673302
22.589587,21.463184,23.638834
22.669395,21.472973,23.703130
22.474169,21.543868,23.680767
22.581595,21.549617,23.678620
22.605941,21.474399,23.726840
22.696191,21.588330,23.625024
22.628825,21.536660,23.599769
22.559055,21.606125,23.666940
22.679458,21.648867,23.755031
22.558815,21.494101,23.699394
22.669981,21.499122,23.739963
22.699861,21.483941,23.672472
22.558388,21.458525,23.854555
22.557419,21.495988,23.641534
22.553597,21.525787,23.718830
22.630512,21.512421,23.733685
22.570438,21.519962,23.718714
22.568038,21.472458,23.599073
22.538040,21.537952,23.672360
22.599685,21.561998,23.765417
22.578797,21.660109,23.598621
22.501913,21.485364,23.608988
22.509530,21.544324,23.616210
22.617377,21.369495,23.703013
22.521940,21.503408,23.777412
22.524880,21.467976,23.641541
22.654783,21.441121,23.680851
22.560486,21.624005,23.744856
22.566494,21.518058,23.707670
22.622414,21.473844,23.627368
22.538296,21.600252,23.726999
22.532325,21.516303,23.718235
22.527067,21.564524,23.714612
22.485304,21.561800,23.696673
22.592471,21.498733,23.674849
22.587295,21.532339,23.695165
22.560451,21.542971,23.626069
22.549984,21.513506,23.729656
22.562422,21.486009,23.698776
22.573460,21.502731,23.663287
22.545669,21.490135,23.633948
22.572211,21.447292,23.691441
22.589868,21.616433,23.719890
22.477728,21.528632,23.601825
22.654756,21.611695,23.648369
22.570592,21.502800,23.685903
22.652300,21.572004,23.657128
22.441916,21.443028,23.762123
22.558531,21.443571,23.739877
22.627535,21.582371,23.780436
22.649727,21.476484,23.651780
22.549585,21.561793,23.572301
22.600071,21.355799,23.806046
22.660911,21.592421,23.651913
22.627931,21.486549,23.644513
22.664713,21.373901,23.588374
22.611596,21.606842,23.692543
22.593697,21.538969,23.724014
22.513754,21.582334,23.608901
22.638433,21.468566,23.714608
22.556633,21.463987,23.662773
22.618243,21.465248,23.636970
22.506729,21.553919,23.546206
22.554657,21.512917,23.602577
22.642910,21.527493,23.840666
22.587519,21.487622,23.614197
22.569089,21.477348,23.706726
22.551508,21.544252,23.701422
22.534470,21.424697,23.665386
22.565572,21.566107,23.704218
22.476791,21.461194,23.737828
22.547488,21.586930,23.694908
22.545078,21.474129,23.722896
22.661884,21.554133,23.630650
22.552312,21.573042,23.710945
22.537936,21.572419,23.755280
22.609376,21.494967,23.671705
22.545864,21.607646,23.671821
22.659905,21.439119,23.667484
