UC1,UC2,UC3,UC4,IUC
55.000000,23.203739,28.973389,21.767963,39.824182
56.500000,19.243262,27.781986,20.020518,39.424295
58.500000,20.701338,28.502016,20.978283,40.946940
58.500000,23.303315,31.872207,22.238286,42.152301
52.000000,18.103557,24.266283,19.543284,36.318854
54.000000,21.029070,27.629770,20.873833,38.588779
59.500000,22.102215,30.272527,21.505701,42.063407
52.000000,20.214096,27.458198,20.626156,37.383075
58.500000,23.575200,29.350979,21.905591,41.721962
58.500000,22.420908,31.851742,21.879768,41.942070
54.500000,23.292111,27.624758,21.253915,39.278464
59.000000,22.781859,30.557925,21.830971,42.028459
57.000000,22.645353,28.822430,21.750861,40.703107
60.500000,24.100255,30.048354,22.067384,42.952666
55.000000,27.044199,29.981725,21.956213,40.663689
56.500000,28.908597,32.201536,22.865081,42.245869
62.000000,27.111111,33.708426,23.250361,45.011650
55.000000,20.700131,28.673687,20.790688,39.194084
55.500000,22.183200,26.669243,20.625770,39.329702
58.000000,23.354029,32.224855,22.100785,41.946612
55.500000,21.044851,26.372549,21.102498,39.169983
58.500000,24.460072,31.201903,21.377994,42.089995
55.500000,23.759123,27.775413,20.998018,39.838759
65.000000,25.946694,32.772943,23.004732,46.120728
52.000000,21.783530,24.174877,20.365952,37.054060
54.500000,20.564722,27.271898,20.544638,38.646876
55.000000,20.379377,28.171954,21.069148,39.103413
57.500000,22.327338,29.563242,21.550628,40.990201
54.500000,21.952355,28.636254,21.054813,39.190570
51.000000,20.026800,26.751799,20.089352,36.644658
51.000000,20.627143,27.864300,20.567728,37.009862
53.500000,17.697067,22.740062,19.285392,36.703753
55.000000,20.094234,29.000164,20.545194,39.106599
51.500000,23.993911,28.572152,20.733402,37.966578
55.500000,21.337222,28.033599,21.042980,39.485634
57.500000,26.002855,29.325087,21.775830,41.600629
58.500000,24.024379,30.229825,21.880206,41.939068
56.500000,21.420365,29.045181,21.321818,40.214561
54.000000,17.267895,25.138187,19.099943,37.251004
59.500000,25.616158,31.484850,22.215098,42.969351
66.500000,29.715575,32.021742,23.278911,47.419371
54.500000,23.568743,27.196781,20.806403,39.178654
59.000000,25.484088,26.039053,21.455777,41.663153
59.500000,22.551854,30.286394,21.317924,42.109362
59.000000,22.676123,30.079552,21.605910,41.893598
57.500000,22.947174,31.538217,21.311669,41.382843
54.500000,22.009942,29.529050,20.638350,39.279557
52.000000,22.995272,27.234314,20.716176,37.824294
59.500000,23.236327,30.576513,22.130566,42.407234
58.000000,26.351427,27.790886,21.955363,41.682946
57.000000,24.410943,31.123171,22.405371,41.489914
54.500000,18.810197,26.794788,19.883180,38.164694
52.000000,19.797050,23.661042,19.454449,36.485424
62.500000,30.145971,29.750166,23.161460,45.092933
62.500000,23.169526,31.429872,22.477480,44.096146
54.000000,22.230119,26.485663,21.111713,38.637916
57.000000,20.976368,29.025895,20.972370,40.329106
61.000000,23.368563,30.393997,22.572128,43.222448
55.500000,19.222866,29.511630,20.398711,31.158302
53.500000,18.317648,26.587337,19.737618,37.523767
61.000000,25.245972,28.181566,22.112445,43.089997
54.500000,21.590925,25.273791,20.514431,38.479858
55.000000,24.103374,29.053325,21.753970,39.985111
59.000000,25.554590,29.415509,21.923803,42.315650
55.500000,21.614082,29.103802,20.815307,39.672199
55.000000,21.616486,27.938314,20.711707,39.211085
59.500000,23.798240,30.287550,21.776051,42.393640
56.000000,23.774803,27.132894,21.351617,40.043219
57.500000,20.631117,30.468555,21.397607,32.499320
61.000000,21.652114,31.692965,21.559417,42.984083
56.000000,17.804295,24.800054,19.384636,38.331497
59.000000,25.756952,28.740385,21.609650,42.184498
54.000000,19.299982,25.379365,19.412043,37.681898
58.000000,19.481126,27.725782,20.031024,40.206322
57.500000,22.920536,30.179000,22.145578,41.290852
62.000000,22.197799,30.294625,21.825677,43.386350
55.500000,22.093406,25.631137,20.673864,39.149735
59.000000,21.540900,29.057566,21.270335,41.478133
55.500000,20.058515,27.338823,19.973829,38.978528
53.500000,18.054369,26.956187,19.464517,37.495846
53.500000,19.630383,24.424066,19.950302,37.417458
57.000000,21.939366,34.660321,22.221324,33.955252
60.000000,25.634146,28.055656,22.240189,42.654998
56.000000,22.455201,31.553908,22.009809,40.669820
55.000000,20.676967,27.924294,20.476751,39.013002
54.500000,19.781623,26.931332,20.043089,38.376007
58.000000,24.987327,29.910603,22.903869,41.966966
58.500000,23.534203,27.880703,21.276010,41.365153
52.500000,20.545564,29.559402,21.027135,38.105350
60.500000,19.955163,29.894110,21.359608,32.927220
54.000000,19.079060,26.200086,19.486026,37.794195
59.500000,19.162100,29.030840,20.645421,32.084590
51.500000,19.893226,24.514302,20.160836,36.511394
48.000000,20.246075,24.871867,19.712009,34.804992
64.000000,26.443538,32.372196,23.078307,45.649007
50.500000,18.361112,24.062736,19.233777,35.526271
58.500000,24.976106,29.954093,21.978850,42.068175
58.000000,27.183888,30.742624,22.325767,42.375380
58.000000,24.195197,28.956265,21.468169,41.436605
53.500000,21.323265,29.081701,20.799123,38.617348
58.500000,26.027606,32.076571,22.629106,42.705547
59.500000,23.449029,29.761724,21.846605,42.259559
52.000000,20.342658,27.862432,20.692837,37.482988
61.500000,20.430765,30.392875,21.433470,33.439278
54.000000,22.147521,26.746963,20.383664,38.546358
58.500000,25.686216,32.191357,23.387385,42.794159
55.000000,20.129039,29.543353,20.494257,39.194441
56.500000,19.418315,27.794593,20.694159,39.567844
62.000000,23.298031,31.353876,22.175775,43.804614
58.500000,21.881504,28.049807,21.363244,41.132426
66.500000,26.936450,34.541579,23.884560,47.477098
55.500000,19.366409,24.177221,19.793078,38.306118
57.000000,22.914165,31.092839,21.393547,41.066758
59.500000,21.750847,30.123151,21.499529,41.978921
58.000000,26.702773,28.418051,21.854176,41.829167
55.500000,26.167193,28.872689,21.593045,40.522155
59.500000,21.772291,30.030525,21.318070,41.936814
63.500000,23.704253,29.912290,22.240946,44.392915
53.500000,21.971556,29.476255,21.137652,38.847577
56.500000,19.783348,25.592457,20.199746,39.179259
63.000000,23.928305,32.345342,22.372387,44.607672
53.000000,25.226225,25.103617,21.247849,38.429615
56.500000,24.033860,29.152187,22.802944,40.914832
54.500000,18.363891,27.507568,19.787367,38.193138
60.000000,27.778330,32.831593,23.586561,44.032747
55.000000,22.289735,26.350875,21.108671,39.124880
